userid;age;gender;photoid;x;y;annotation;status;phrase length;validator_userid;validator_age;validator_gender
2;4;male;img23;495;157;Pub called 'Deacon Brodie's Tavern. Black and white traditional building with sign hanging outside and 3 big arched windows;correct;123;26;6;male
2;4;male;img23;0;0;Pub called 'Deacon Brodie's Tavern. Black and white traditional building with sign hanging outside and 3 big arched windows;cantfind;123;41;5;female
2;4;male;img23;383;164;Pub called 'Deacon Brodie's Tavern. Black and white traditional building with sign hanging outside and 3 big arched windows;correct;123;42;4;female
2;4;male;img31;0;0;Traditional early Victorian terrace on 3 floors + dormer. Third in from the left of the end terrace.  Royal Blue Door, Black, spiked iron railings.;ambiguous;147;7;2;female
2;4;male;img31;210;421;Traditional early Victorian terrace on 3 floors + dormer. Third in from the left of the end terrace.  Royal Blue Door, Black, spiked iron railings.;correct;147;8;3;female
2;4;male;img31;82;371;Traditional early Victorian terrace on 3 floors + dormer. Third in from the left of the end terrace.  Royal Blue Door, Black, spiked iron railings.;correct;147;9;2;male
2;4;male;img21;222;305;Large, modern glass fronted building, butted up against traditional victorian terrace, slightly set back from road, and with facing bowed frontage.;correct;147;6;2;male
2;4;male;img21;0;0;Large, modern glass fronted building, butted up against traditional victorian terrace, slightly set back from road, and with facing bowed frontage.;ambiguous;147;18;3;male
2;4;male;img21;268;292;Large, modern glass fronted building, butted up against traditional victorian terrace, slightly set back from road, and with facing bowed frontage.;correct;147;19;4;female
2;4;male;img26;333;273;Two story traditional stone building, on the left of the street as faced, just before the bed.  Two large white double doors.;correct;125;3;2;male
2;4;male;img26;331;285;Two story traditional stone building, on the left of the street as faced, just before the bed.  Two large white double doors.;correct;125;15;2;male
2;4;male;img26;339;280;Two story traditional stone building, on the left of the street as faced, just before the bed.  Two large white double doors.;correct;125;17;4;male
2;4;male;img19;346;399;Church in the middle of a small square/island - no spire but with large stained glass window in gable end, slightly obscured by trees.;correct;134;11;2;female
2;4;male;img19;360;372;Church in the middle of a small square/island - no spire but with large stained glass window in gable end, slightly obscured by trees.;correct;134;13;2;male
2;4;male;img19;350;387;Church in the middle of a small square/island - no spire but with large stained glass window in gable end, slightly obscured by trees.;correct;134;14;3;female
3;2;male;img01;134;328;Building with columns behind the one in front, also in similar architecture style.;incorrect;82;25;2;female
3;2;male;img14;277;392;End centre of the street, straight ahead, big building with a columns and a dome roof;correct;85;9;2;male
3;2;male;img14;0;0;End centre of the street, straight ahead, big building with a columns and a dome roof;ambiguous;85;18;3;male
3;2;male;img14;0;0;End centre of the street, straight ahead, big building with a columns and a dome roof;ambiguous;85;18;3;male
3;2;male;img20;644;331;Grey building block with statues above the entrance, Amarone restaurant on the bottom floor;correct;91;8;3;female
3;2;male;img20;643;359;Grey building block with statues above the entrance, Amarone restaurant on the bottom floor;correct;91;17;4;male
3;2;male;img20;0;0;Grey building block with statues above the entrance, Amarone restaurant on the bottom floor;ambiguous;91;21;3;male
3;2;male;img05;518;245;Big historical building with huge columns and statue at the top.;correct;64;6;2;male
3;2;male;img05;533;218;Big historical building with huge columns and statue at the top.;correct;64;11;2;female
3;2;male;img05;528;233;Big historical building with huge columns and statue at the top.;correct;64;19;4;female
3;2;male;img01;136;334;Building with columns behind the one in front, also in similar architecture style.;incorrect;82;13;2;male
3;2;male;img01;84;316;Building with columns behind the one in front, also in similar architecture style.;correct;82;14;3;female
3;2;male;img24;0;0;Middle vertical section of the house above the brown door of the housing block with Eigin Cashmere on the ground floor.;ambiguous;120;7;2;female
3;2;male;img24;359;227;Middle vertical section of the house above the brown door of the housing block with Eigin Cashmere on the ground floor.;correct;120;15;2;male
3;2;male;img24;139;235;Middle vertical section of the house above the brown door of the housing block with Eigin Cashmere on the ground floor.;incorrect;120;26;6;male
6;2;male;img27;436;233;Small shed with lead roof;correct;25;7;2;female
6;2;male;img27;418;341;Small shed with lead roof;correct;25;13;2;male
6;2;male;img27;0;0;Small shed with lead roof;cantfind;25;18;3;male
6;2;male;img10;348;352;Red and gold coffee shop next to the bridge;correct;43;8;3;female
6;2;male;img10;292;294;Red and gold coffee shop next to the bridge;correct;43;9;2;male
6;2;male;img10;343;340;Red and gold coffee shop next to the bridge;correct;43;17;4;male
6;2;male;img11;349;363;Small stone capped monument/fountain with a plaque built on the pavement.;incorrect;73;11;2;female
6;2;male;img11;350;378;Small stone capped monument/fountain with a plaque built on the pavement.;incorrect;73;26;6;male
6;2;male;img11;690;393;Small stone capped monument/fountain with a plaque built on the pavement.;correct;73;66;3;female
6;2;male;img28;548;239;Enormous Gothic tower in the park that is stained black;correct;55;30;3;female
6;2;male;img28;546;239;Enormous Gothic tower in the park that is stained black;correct;55;37;3;female
6;2;male;img28;545;225;Enormous Gothic tower in the park that is stained black;correct;55;61;3;male
6;2;male;img13;287;369;Coffee shop to the left of the converted church;correct;47;14;3;female
6;2;male;img13;286;343;Coffee shop to the left of the converted church;correct;47;15;2;male
6;2;male;img13;296;348;Coffee shop to the left of the converted church;correct;47;19;4;female
7;2;female;img09;139;281;The windows above the restaurant with the black street furniture next to the RBS on the corner.;correct;96;11;2;female
7;2;female;img09;142;283;The windows above the restaurant with the black street furniture next to the RBS on the corner.;correct;96;15;2;male
7;2;female;img09;141;273;The windows above the restaurant with the black street furniture next to the RBS on the corner.;correct;96;25;2;female
7;2;female;img04;700;243;The Austrian looking white house with the dark wooden beams at the water side.;correct;79;6;2;male
7;2;female;img04;731;259;The Austrian looking white house with the dark wooden beams at the water side.;correct;79;14;3;female
7;2;female;img04;744;213;The Austrian looking white house with the dark wooden beams at the water side.;correct;79;37;3;female
7;2;female;img04;758;245;The Austrian looking white house with the dark wooden beams at the water side.;correct;79;61;3;male
7;2;female;img07;424;142;The castle- like tower on the corner next to the Tartan Weaving Mill on the Royal Mile.;correct;88;17;4;male
7;2;female;img07;468;210;The castle- like tower on the corner next to the Tartan Weaving Mill on the Royal Mile.;correct;88;19;4;female
7;2;female;img07;0;0;The castle- like tower on the corner next to the Tartan Weaving Mill on the Royal Mile.;ambiguous;88;21;3;male
7;2;female;img30;350;332;The green- ish statue standing in front on the square in front of the church on the Royal Mile.;correct;96;8;3;female
7;2;female;img30;350;332;The green- ish statue standing in front on the square in front of the church on the Royal Mile.;correct;96;8;3;female
7;2;female;img30;349;317;The green- ish statue standing in front on the square in front of the church on the Royal Mile.;correct;96;30;3;female
7;2;female;img17;572;337;The square building on the right hand side with the three tall pillars next to the Pizza Hut.;correct;94;13;2;male
7;2;female;img17;0;0;The square building on the right hand side with the three tall pillars next to the Pizza Hut.;ambiguous;94;18;3;male
7;2;female;img17;602;281;The square building on the right hand side with the three tall pillars next to the Pizza Hut.;correct;94;26;6;male
8;3;female;img12;474;209;The elephant house pub and the flat above it. It has a red fa+Γª╞+Θ-║ade and is next to the patisserie.;correct;104;19;4;female
8;3;female;img12;0;0;The elephant house pub and the flat above it. It has a red fa+Γª╞+Θ-║ade and is next to the patisserie.;cantfind;104;36;2;male
8;3;female;img12;477;272;The elephant house pub and the flat above it. It has a red fa+Γª╞+Θ-║ade and is next to the patisserie.;correct;104;64;2;male
8;3;female;img16;464;279;A small restaurant called Suruchi, with a red and white front. It's between the Subway sandwich shop and another small restaurant called Thai Basil.;correct;149;14;3;female
8;3;female;img16;0;0;A small restaurant called Suruchi, with a red and white front. It's between the Subway sandwich shop and another small restaurant called Thai Basil.;ambiguous;149;18;3;male
