,preposition,is_atomic,is_spatial,class,transitivity,synonyms,antonyms,hypernym,hyponym,meronym,holonym,supersense
,a,TRUE,TRUE,,,,,,,,,
102,aboard,TRUE,TRUE,,both,"alongside, on base, on board",,,,,,
33,about,FALSE,FALSE,,both,"almost, approximately, around, astir, close to, just about, more or less, most, near, nearly, nigh, or so, roughly, some, virtually, well-nigh",,,,,,
41,above,TRUE,TRUE,PROJECTIVE,both,"higher up, in a higher place, supra, to a higher place",below,"section, subdivision",,,,
95,absent,FALSE,FALSE,,transitive,"absentminded, abstracted, lacking, missing, remove, scatty, wanting",present,"disappear, go away, vanish",,,,
122,according to,FALSE,FALSE,,,,,,,,,
15,across,TRUE,TRUE,EXTENDED,,"crossways, crosswise",,,,,,
,adjacent,TRUE,TRUE,,,,,,,,,
51,adjacent to,FALSE,TRUE,,,,,,,,,
50,afore,TRUE,TRUE,,,,,,,,,
57,after,TRUE,TRUE,,,"afterward, afterwards, later, later on, subsequently",,,,,,
131,against,TRUE,TRUE,BOUNDED,,,,,,,,
,ahead,TRUE,TRUE,,,,,,,,,
66,ahead of,FALSE,TRUE,,,,,,,,,
84,along,TRUE,TRUE,EXTENDED,,on,,,,,,
42,alongside,FALSE,TRUE,,,aboard,,,,,,
59,amid,TRUE,TRUE,,,,,,,,,
94,amidst,TRUE,TRUE,,,,,,,,,
26,among,TRUE,TRUE,BOUNDED,,,,,,,,
43,amongst,TRUE,TRUE,,,,,,,,,
,apart,TRUE,TRUE,,intransitive,,,,,,,
87,apart from,FALSE,TRUE,,,,,,,,,
37,around,FALSE,TRUE,EXTENDED,,"about, approximately, close to, just about, more or less, or so, roughly, round, some",,,,,,
81,as,TRUE,FALSE,,,"A, AS, American Samoa, As, Eastern Samoa, a, adenine, amp, ampere, angstrom, angstrom unit, antiophthalmic factor, arsenic, atomic number 33, axerophthol, deoxyadenosine monophosphate, equally, every bit, group A, type A, vitamin A",,"alphabetic character, base, blood group, blood type, chemical element, current unit, element, fat-soluble vitamin, letter, letter of the alphabet, metric linear unit, nucleotide, purine","dehydroretinol, retinol, vitamin A1, vitamin A2","Pago Pago, Pango Pango, mA, micromicron, milliampere, picometer, picometre","DNA, Latin alphabet, RNA, Roman alphabet, Samoa, Samoan Islands, abamp, abampere, arsenopyrite, deoxyribonucleic acid, desoxyribonucleic acid, herbicide, insect powder, insecticide, micromillimeter, micromillimetre, millimicron, mispickel, nanometer, nanometre, nm, orpiment, realgar, ribonucleic acid, weed killer, weedkiller",
23,as far as,FALSE,TRUE,,,,,,,,,
89,as of,FALSE,FALSE,,,,,,,,,
114,as opposed to,FALSE,FALSE,,,,,,,,,
113,as per,FALSE,FALSE,,,,,,,,,
14,as regards,FALSE,FALSE,,,,,,,,,
63,as soon as,FALSE,FALSE,,,,,,,,,
30,as well as,FALSE,FALSE,,,,,,,,,
,aside,TRUE,TRUE,,,,,,,,,
45,aside from,FALSE,TRUE,,,,,,,,,
,astern,TRUE,TRUE,,,,,,,,,
27,astern of,FALSE,TRUE,,,,,,,,,
20,astride,TRUE,TRUE,,,astraddle,,,,,,
129,at,TRUE,TRUE,,,"At, astatine, atomic number 85",,"Laotian monetary unit, chemical element, element, halogen",,,kip,
,at least,FALSE,FALSE,,,,,,,,,
,at most,FALSE,FALSE,,,,,,,,,
,at the back of,FALSE,TRUE,,,,,,,,,
79,at the behest of,FALSE,FALSE,,,,,,,,,
,at the rear of,FALSE,TRUE,,,,,,,,,
40,atop,FALSE,TRUE,,,on top of,,,,,,
,back,TRUE,TRUE,,,,,,,,,
74,back to,FALSE,FALSE,,,,,,,,,
,base,TRUE,TRUE,,,,,,,,,
16,because of,FALSE,FALSE,,,,,,,,,
55,before,TRUE,TRUE,,,"ahead, earlier, in front",,,,,,
99,behind,TRUE,TRUE,PROJECTIVE,,"arse, ass, backside, behindhand, bottom, bum, buns, butt, buttocks, can, derriere, fanny, fundament, hind end, hindquarters, in arrears, keister, nates, posterior, prat, rear, rear end, rump, seat, slow, stern, tail, tail end, tooshie, tush",,body part,,,"body, torso, trunk",
121,below,TRUE,TRUE,PROJECTIVE,,"at a lower place, beneath, down the stairs, downstairs, infra, on a lower floor, to a lower place, under","above, upstairs",,,,,
61,beneath,TRUE,TRUE,,,"at a lower place, below, to a lower place",above,,,,,
70,beside,FALSE,TRUE,BOUNDED,,,,,,,,
10,besides,FALSE,FALSE,,,"also, as well, in any case, likewise, too",,,,,,
125,between,FALSE,TRUE,BOUNDED,,"tween, betwixt",,,,,,
,betwixt,TRUE,TRUE,,,,,,,,,
31,beyond,TRUE,TRUE,PROJECTIVE,,,,,,,,
,bottom,TRUE,TRUE,,,,,,,,,
103,but,TRUE,TRUE,,,"just, merely, only, simply",,,,,,
3,by,TRUE,TRUE,,,"aside, away, past",,,,,,
133,by means of,FALSE,TRUE,,,,,,,,,
97,by virtue of,FALSE,TRUE,,,,,,,,,CAUSER
,center,TRUE,TRUE,,,,,,,,,
110,circa,TRUE,FALSE,,,,,,,,,APPROXIMATOR
,close,TRUE,TRUE,,,,,,,,,
112,close to,FALSE,TRUE,,,,,,,,,
88,concerning,FALSE,FALSE,,,"bear on, come to, concern, have-to doe with, interest, occupy, pertain, refer, relate, touch, touch on, worry",,,"affect, apply, center, center on, concentrate on, focus on, go for, hold, interest, involve, matter to, regard, revolve about, revolve around",,,
,core,TRUE,TRUE,,,,,,,,,
,corner,TRUE,TRUE,,,,,,,,,
,cross,TRUE,TRUE,,,,,,,,,
68,despite,FALSE,FALSE,,,"contempt, disdain, scorn",,"dislike, disregard, neglect",,,,
29,down,TRUE,TRUE,PARTICLE,,"Down, John L. H. Down, belt down, blue, bolt down, consume, cut down, depressed, devour, dispirited, down feather, down in the mouth, down pat, downcast, downhearted, downward, downwardly, downwards, drink down, fine-tune, gloomy, go through, grim, kill, knock down, land, low, low-spirited, mastered, pile, polish, pop, pour down, pull down, push down, refine, shoot down, toss off","upwards ,  upward ,  upwardly ,  up","ameliorate, amend, better, defeat, drink, eat, feather, get the better of, hair, highland, imbibe, improve, meliorate, overcome, play, plumage, plume, strike, turn, upland","civilise, civilize, cultivate, duck down, educate, goose down, lanugo, over-refine, overrefine, plumule, school, submarine, swan's down, train",,,
0,due to,FALSE,FALSE,,,,,,,,,EXPLANATION
21,during,FALSE,FALSE,,,,,,,,,TIME
,edge,TRUE,TRUE,,,,,,,,,
,end,TRUE,TRUE,,,,,,,,,
80,except,TRUE,TRUE,,,"demur, exclude, leave off, leave out, omit, take out",include,"do away with, eliminate, extinguish, get rid of, object",elide,,,PARTWHOLE
116,except for,FALSE,TRUE,,,,,,,,,PARTWHOLE
,face,TRUE,TRUE,,,,,,,,,
,far,TRUE,TRUE,,,,,,,,,
13,far from,FALSE,TRUE,,,,,,,,,
,flank,TRUE,TRUE,,,,,,,,,
