,preposition,synonyms,antonyms,hypernym,hyponym,meronym,holonym
102,aboard,"alongside, on base, on board",,,,,
33,about,"almost, approximately, around, astir, close to, just about, more or less, most, near, nearly, nigh, or so, roughly, some, virtually, well-nigh",,,,,
41,above,"higher up, in a higher place, supra, to a higher place",below,"section, subdivision",,,
95,absent,"absentminded, abstracted, lacking, missing, remove, scatty, wanting",present,"disappear, go away, vanish",,,
122,according to,,,,,,
15,across,"crossways, crosswise",,,,,
51,adjacent to,,,,,,
50,afore,,,,,,
57,after,"afterward, afterwards, later, later on, subsequently",,,,,
131,against,,,,,,
66,ahead of,,,,,,
84,along,on,,,,,
42,alongside,aboard,,,,,
59,amid,,,,,,
94,amidst,,,,,,
26,among,,,,,,
43,amongst,,,,,,
87,apart from,,,,,,
37,around,"about, approximately, close to, just about, more or less, or so, roughly, round, some",,,,,
81,as,"A, AS, American Samoa, As, Eastern Samoa, a, adenine, amp, ampere, angstrom, angstrom unit, antiophthalmic factor, arsenic, atomic number 33, axerophthol, deoxyadenosine monophosphate, equally, every bit, group A, type A, vitamin A",,"alphabetic character, base, blood group, blood type, chemical element, current unit, element, fat-soluble vitamin, letter, letter of the alphabet, metric linear unit, nucleotide, purine","dehydroretinol, retinol, vitamin A1, vitamin A2","Pago Pago, Pango Pango, mA, micromicron, milliampere, picometer, picometre","DNA, Latin alphabet, RNA, Roman alphabet, Samoa, Samoan Islands, abamp, abampere, arsenopyrite, deoxyribonucleic acid, desoxyribonucleic acid, herbicide, insect powder, insecticide, micromillimeter, micromillimetre, millimicron, mispickel, nanometer, nanometre, nm, orpiment, realgar, ribonucleic acid, weed killer, weedkiller"
23,as far as,,,,,,
89,as of,,,,,,
114,as opposed to,,,,,,
113,as per,,,,,,
14,as regards,,,,,,
63,as soon as,,,,,,
30,as well as,,,,,,
45,aside from,,,,,,
27,astern of,,,,,,
20,astride,astraddle,,,,,
129,at,"At, astatine, atomic number 85",,"Laotian monetary unit, chemical element, element, halogen",,,kip
79,at the behest of,,,,,,
40,atop,,,,,,
74,back to,,,,,,
16,because of,,,,,,
55,before,"ahead, earlier, in front",,,,,
99,behind,"arse, ass, backside, behindhand, bottom, bum, buns, butt, buttocks, can, derriere, fanny, fundament, hind end, hindquarters, in arrears, keister, nates, posterior, prat, rear, rear end, rump, seat, slow, stern, tail, tail end, tooshie, tush",,body part,,,"body, torso, trunk"
121,below,"at a lower place, beneath, down the stairs, downstairs, infra, on a lower floor, to a lower place, under","above ,  upstairs",,,,
61,beneath,"at a lower place, below, to a lower place",above,,,,
70,beside,,,,,,
10,besides,"also, as well, in any case, likewise, too",,,,,
125,between,"'tween, betwixt",,,,,
31,beyond,,,,,,
103,but,"just, merely, only, simply",,,,,
3,by,"aside, away, past",,,,,
133,by means of,,,,,,
97,by virtue of,,,,,,
110,circa,,,,,,
112,close to,,,,,,
88,concerning,"bear on, come to, concern, have-to doe with, interest, occupy, pertain, refer, relate, touch, touch on, worry",,,"affect, apply, center, center on, concentrate on, focus on, go for, hold, interest, involve, matter to, regard, revolve about, revolve around",,
68,despite,"contempt, disdain, scorn",,"dislike, disregard, neglect",,,
29,down,"Down, John L. H. Down, belt down, blue, bolt down, consume, cut down, depressed, devour, dispirited, down feather, down in the mouth, down pat, downcast, downhearted, downward, downwardly, downwards, drink down, fine-tune, gloomy, go through, grim, kill, knock down, land, low, low-spirited, mastered, pile, polish, pop, pour down, pull down, push down, refine, shoot down, toss off","upwards ,  upward ,  upwardly ,  up","ameliorate, amend, better, defeat, drink, eat, feather, get the better of, hair, highland, imbibe, improve, meliorate, overcome, play, plumage, plume, strike, turn, upland","civilise, civilize, cultivate, duck down, educate, goose down, lanugo, over-refine, overrefine, plumule, school, submarine, swan's down, train",,
0,due to,,,,,,
21,during,,,,,,
80,except,"demur, exclude, leave off, leave out, omit, take out",include,"do away with, eliminate, extinguish, get rid of, object",elide,,
116,except for,,,,,,
13,far from,,,,,,
75,following,"abide by, accompany, adopt, be, chase, come, come after, comply, conform to, espouse, fall out, follow, followers, keep abreast, keep an eye on, keep up, next, observe, play along, postdate, pursual, pursue, pursuit, stick to, stick with, succeed, surveil, survey, take after, trace, travel along, undermentioned, watch, watch over","precede ,  leading ,  predate","act, analyse, analyze, apply, arise, be, behave, canvas, canvass, check, check into, check out, check over, check up on, choose, copy, develop, do, ensue, examine, go, go over, grow, hang in, hang on, hoi polloi, hold on, imitate, locomote, look into, mass, masses, motion, move, movement, multitude, obey, originate, people, persevere, persist, pick out, play, practice, result, rise, select, simulate, spring up, study, suss out, take, the great unwashed, travel, understand, uprise, use","accede, accommodate, adhere, ascend, carry, chase, chase after, claque, conform to, cox, dawdle, dog, enter, faithful, fall back, fall behind, fandom, give chase, go after, go by, guard, haunt, heel, invigilate, keep tabs on, lag, oblige, proctor, replace, shadow, shadowing, stalk, stalking, stick, supercede, supersede, supervene upon, supplant, tag, tail, tailgate, tailing, toe the line, track, tracking, trail, trailing, vet","buff, devotee, fan, lover",
134,for,,,,,,
107,for the sake of,,,,,,
96,from,,,,,,
46,in,"Hoosier State, IN, In, Indiana, atomic number 49, inch, indium, inward, inwards",,"linear measure, linear unit, metal, metallic element",,"Bloomington, Evansville, Fort Wayne, Gary, Indianapolis, Lafayette, Muncie, South Bend, Wabash, Wabash River, capital of Indiana, em, ligne, mesh, mil, pica, pica em","America, Corn Belt, Midwest, U.S., U.S.A., US, USA, United States, United States of America, blende, foot, ft, middle west, midwestern United States, sphalerite, the States, zinc blende"
124,in accordance with,,,,,,
4,in addition to,,,,,,
109,in case of,,,,,,
48,in front of,,,,,,
56,in lieu of,,,,,,
91,in place of,,,,,,
93,in point of,,,,,,
130,in spite of,,,,,,
76,including,"admit, include, let in",exclude,"add, allow, consider, countenance, let, permit, reckon, regard, see, view","attach to, bear, carry, colligate, comprehend, comprise, contain, count, cover, embrace, encompass, hold, incorporate, induct, inhere in, initiate, involve, readmit, subsume",,
108,inside,"at bottom, at heart, deep down, in spite of appearance, indoors, inner, interior, inwardly, privileged, within","outside ,  outwardly ,  outdoors","part, region, surface","belly, midland, midst, penetralia, thick",,
38,inside of,,,,,,
132,instead of,,,,,,
35,into,,,,,,
28,left of,,,,,,
53,less,to a lesser extent,more,,,,
82,like,"alike, care, comparable, corresponding, ilk, same, similar, the like, the likes of, wish","dislike ,  unlike ,  unalike","consider, desire, form, kind, reckon, regard, see, sort, variety, view, want","care for, cotton, enjoy, love, please, prefer",,
78,minus,"negative, subtraction",plus,arithmetic operation,,,
117,near,"about, almost, approach, approximate, cheeseparing, close, come near, come on, dear, draw close, draw near, go up, good, most, nearly, nigh, penny-pinching, skinny, virtually, well-nigh",far,"come, come up","bear down on, bear down upon, close, crowd, drive up, edge in, edge up, push",,
47,near to,,,,,,
24,nearer,"approximate, cheeseparing, close, closer, dear, good, near, nigh, nigher, penny-pinching, skinny",far,,,,
58,nearest,"approximate, cheeseparing, close, closest, dear, good, near, nigh, nighest, penny-pinching, skinny",far,,,,
69,next to,,,,,,
115,notwithstanding,"all the same, even so, however, nevertheless, nonetheless, still, withal, yet",,,,,
111,of,,,,,,
18,off,"away, bump off, cancelled, dispatch, forth, hit, murder, polish off, remove, slay, sour, turned",on,kill,"burke, execute",,
64,on,along,off,,,,
118,on account of,,,,,,
8,on behalf of,,,,,,
120,on top of,,,,,,
71,onto,,,,,,
126,opposite,"antonym, contrary, diametric, diametrical, face-to-face, inverse, opponent, opposite word, opposition, paired, polar, reverse","synonym ,  alternate","contestant, oppositeness, opposition, word","additive inverse, direct antonym, indirect antonym, multiplicative inverse, reciprocal",,
1,opposite of,,,,,,
123,opposite to,,,,,,
98,out,"KO'd, away, come out, come out of the closet, extinct, forbidden, kayoed, knocked out, prohibited, proscribed, stunned, taboo, tabu, verboten",safe,"break, bring out, disclose, discover, divulge, expose, failure, give away, let on, let out, reveal, unwrap","putout, strikeout",,
106,out from,,,,,,
85,out of,,,,,,
77,outside,"alfresco, away, exterior, external, extraneous, international, out-of-door, out of doors, outdoor, outdoors, remote","indoors ,  indoor ,  inside","part, region, surface","open, open air, out-of-doors, outdoors",,
39,outside of,,,,,,
67,over,"all over, complete, concluded, ended, o'er, terminated",,"division, part, section","maiden, maiden over",,"period of play, play, playing period"
62,owing to,,,,,,
5,past,"by, past tense, past times, preceding, retiring, yesteryear","present ,  future","period, period of time, tense, time, time period","auld langsyne, bygone, good old days, history, langsyne, old, old times, preterit, preterite, time immemorial, time out of mind, water under the bridge, yesterday, yore",,life
19,per,,,,,,
72,plus,"addition, asset, positive, summation","minus ,  liability","arithmetic operation, quality","advantage, forte, long suit, metier, resource, speciality, specialty, strength, strong point, strong suit, vantage",,
104,prior to,,,,,,
73,pursuant to,,,,,,
6,rather than,,,,,,
49,regardless of,,,,,,
92,right of,,,,,,
90,save,"bring through, carry through, deliver, economise, economize, hold open, keep, keep open, lay aside, make unnecessary, preserve, pull through, redeem, relieve, salvage, salve, save up, spare, write",,"bar, book, deliver, drop, expend, forbear, forbid, foreclose, forestall, hold, hold on, keep, preclude, prevent, prevention, record, refrain, rescue, reserve, spend, tape","cache, conserve, deliver, economise, economize, enter, favor, favour, hive up, hoard, husband, lay away, overwrite, put down, record, rescue, scrimp, skimp, squirrel away, stash, stint, tighten one's belt",,
100,since,,,,,,
54,subsequent to,,,,,,
119,such as,,,,,,
65,thanks to,,,,,,
101,through,"done, through and through, through with",,,,,
32,throughout,"end-to-end, passim",,,,,
7,to,,,,,,
128,toward,,,,,,
105,towards,,,,,,
83,under,"below, nether",,,,,
2,underneath,,,,,,
25,until,,,,,,
34,up,"astir, improving, upward, upwardly, upwards","downwards ,  downward ,  downwardly ,  down",increase,,,
44,up to,,,,,,
52,upon,,,,,,
17,upside,"top, top side, upper side",,"face, side","crest, crown, desktop, pate, poll, rooftop, tiptop",,
22,versus,,,,,,
11,via,,,,,,
12,with,,,,,,
60,with a view to,,,,,,
127,with regard to,,,,,,
36,with respect to,,,,,,
135,within,inside,outside,,,,
9,without,,,,,,
86,worth,"Charles Frederick Worth, Worth, deserving",worthlessness,"indefinite quantity, quality","demerit, fault, ha'p'orth, halfpennyworth, merit, penn'orth, pennyworth, praisworthiness, price, value, virtue, worthwhileness",,
